count,data
371, 0  ms,  0  mm,  0  dBm 
372, 0  ms,  0  mm,  0  dBm 
373, 0  ms,  0  mm,  0  dBm 
374, 0  ms,  0  mm,  0  dBm 
375, 0  ms,  0  mm,  0  dBm 
376, 0  ms,  0  mm,  0  dBm 
377, 0  ms,  0  mm,  0  dBm 
378, 0  ms,  0  mm,  0  dBm 
379, 0  ms,  0  mm,  0  dBm 
380, 0  ms,  0  mm,  0  dBm 
381, 0  ms,  0  mm,  0  dBm 
382, 0  ms,  0  mm,  0  dBm 
383, 0  ms,  0  mm,  0  dBm 
384, 0  ms,  0  mm,  0  dBm 
385, 0  ms,  0  mm,  0  dBm 
386, 0  ms,  0  mm,  0  dBm 
387, 0  ms,  0  mm,  0  dBm 
388, 0  ms,  0  mm,  0  dBm 
389, 0  ms,  0  mm,  0  dBm 
390, 0  ms,  0  mm,  0  dBm 
391, 0  ms,  0  mm,  0  dBm 
392, 0  ms,  0  mm,  0  dBm 
393, 0  ms,  0  mm,  0  dBm 
394, 0  ms,  0  mm,  0  dBm 
395, 0  ms,  0  mm,  0  dBm 
396, 69852  ms,  381  mm,  -79  dBm 
397, 70038  ms,  362  mm,  -79  dBm 
398, 70223  ms,  372  mm,  -79  dBm 
399, 0  ms,  0  mm,  0  dBm 
400, 0  ms,  0  mm,  0  dBm 
401, 0  ms,  0  mm,  0  dBm 
402, 0  ms,  0  mm,  0  dBm 
403, 0  ms,  0  mm,  0  dBm 
404, 0  ms,  0  mm,  0  dBm 
405, 0  ms,  0  mm,  0  dBm 
406, 70778  ms,  362  mm,  -79  dBm 
407, 0  ms,  0  mm,  0  dBm 
408, 0  ms,  0  mm,  0  dBm 
409, 0  ms,  0  mm,  0  dBm 
410, 71057  ms,  343  mm,  -79  dBm 
411, 0  ms,  0  mm,  0  dBm 
412, 0  ms,  0  mm,  0  dBm 
413, 0  ms,  0  mm,  0  dBm 
414, 71319  ms,  348  mm,  -78  dBm 
415, 0  ms,  0  mm,  0  dBm 
416, 0  ms,  0  mm,  0  dBm 
417, 0  ms,  0  mm,  0  dBm 
418, 0  ms,  0  mm,  0  dBm 
419, 0  ms,  0  mm,  0  dBm 
420, 0  ms,  0  mm,  0  dBm 
421, 0  ms,  0  mm,  0  dBm 
422, 0  ms,  0  mm,  0  dBm 
423, 0  ms,  0  mm,  0  dBm 
424, 0  ms,  0  mm,  0  dBm 
425, 0  ms,  0  mm,  0  dBm 
426, 0  ms,  0  mm,  0  dBm 
427, 0  ms,  0  mm,  0  dBm 
428, 0  ms,  0  mm,  0  dBm 
429, 0  ms,  0  mm,  0  dBm 
430, 0  ms,  0  mm,  0  dBm 
431, 0  ms,  0  mm,  0  dBm 
432, 0  ms,  0  mm,  0  dBm 
433, 0  ms,  0  mm,  0  dBm 
434, 0  ms,  0  mm,  0  dBm 
435, 0  ms,  0  mm,  0  dBm 
436, 0  ms,  0  mm,  0  dBm 
437, 0  ms,  0  mm,  0  dBm 
438, 0  ms,  0  mm,  0  dBm 
439, 0  ms,  0  mm,  0  dBm 
440, 0  ms,  0  mm,  0  dBm 
441, 0  ms,  0  mm,  0  dBm 
442, 0  ms,  0  mm,  0  dBm 
443, 0  ms,  0  mm,  0  dBm 
444, 0  ms,  0  mm,  0  dBm 
445, 0  ms,  0  mm,  0  dBm 
446, 0  ms,  0  mm,  0  dBm 
447, 0  ms,  0  mm,  0  dBm 
448, 0  ms,  0  mm,  0  dBm 
449, 0  ms,  0  mm,  0  dBm 
450, 0  ms,  0  mm,  0  dBm 
451, 0  ms,  0  mm,  0  dBm 
452, 0  ms,  0  mm,  0  dBm 
453, 0  ms,  0  mm,  0  dBm 
454, 0  ms,  0  mm,  0  dBm 
455, 0  ms,  0  mm,  0  dBm 
456, 0  ms,  0  mm,  0  dBm 
457, 0  ms,  0  mm,  0  dBm 
458, 0  ms,  0  mm,  0  dBm 
459, 0  ms,  0  mm,  0  dBm 
460, 0  ms,  0  mm,  0  dBm 
461, 0  ms,  0  mm,  0  dBm 
462, 0  ms,  0  mm,  0  dBm 
463, 0  ms,  0  mm,  0  dBm 
464, 0  ms,  0  mm,  0  dBm 
465, 0  ms,  0  mm,  0  dBm 
466, 0  ms,  0  mm,  0  dBm 
